date,Australia,Belgium,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,"Korea, Rep.",Mexico,Netherlands,Poland,Russian Federation,Saudi Arabia,Spain,Sweden,Switzerland,Thailand,Turkiye,United Kingdom,United States
1989,299875906679.217,164221056511.057,412990820287.42,567211993243.243,347768051311.741,1016742237302.08,1404092925205.45,296042052944.66,94451427876.6628,930801709003.669,3109455047823.93,246928837311.406,221403098266.77,258716904291.801,,506631299734.748,95344459279.0387,414460794096.978,217634838449.487,208105846934.409,72250748099.9762,107127191328.935,926884816753.927,5641580000000.0
1990,311426665219.971,205331747947.851,464989098144.854,596075591360.987,360857912565.966,1257649439826.53,1778162195860.07,320979026420.035,106140727333.636,1183945130898.51,3185904656663.85,283365844161.092,261253675692.838,318799003993.707,65977748210.5263,517014446227.929,117630173564.753,536175326477.31,261469578630.804,265763573999.424,85343190719.0107,150655500191.644,1093169389204.55,5963144000000.0
1991,325975319455.531,210510999409.333,342534090909.091,612527712315.615,383373318083.624,1258961748633.88,1875792575132.59,270105341879.226,116621996217.133,1249092439519.28,3648065760648.88,330647042837.334,313139656145.745,327982316124.47,85500935934.9901,517962962962.963,132223230974.633,576753902321.857,273834608019.843,268901693863.319,98234714971.0612,151034731543.624,1142797178130.51,6158129000000.0
1992,325525379566.838,234781652446.675,328191909882.232,594387358318.855,426915712715.856,1389663073110.28,2141377582968.07,288208070278.013,128026966579.964,1323204350353.5,3980702922117.66,355524903068.056,363157832923.734,363497050125.313,94337050693.2727,460290556900.726,137087850467.29,630465353486.104,283912173666.678,279921425828.474,111452746517.655,159104772991.851,1179659529659.53,6520327000000.0
1993,312133923552.558,224721795708.955,368292034380.96,579053561739.4,444731282435.515,1314383368079.69,2078954217437.6,279295648982.529,158006700301.533,1067412587670.73,4536940479038.25,392665710525.411,530160763983.506,354070495965.828,96043157272.862,435083713850.837,132967957276.368,524700572623.872,212647043708.405,272237527070.926,128889262951.157,180415757851.616,1061388722255.55,6858559000000.0
1994,322806641300.588,244884129491.198,525369467295.737,579944346807.264,564321854521.013,1385822778827.98,2215282632276.73,327274843459.429,176892143931.505,1101750159702.21,4998797547740.97,463619823515.164,553618247900.74,379688232231.505,110803635287.621,395077301248.464,135174899866.489,530183651720.283,228701658890.617,301375055202.164,146683778959.101,130650447499.071,1140489745944.29,7287236000000.0
1995,368166023166.023,288025588396.278,769333050986.905,605961090061.207,734484834573.582,1595219345511.89,2593053091306.13,360281909643.489,202132028723.115,1177369428265.78,5545563663889.7,566581003128.204,380157469866.849,452967334614.329,142838527115.448,395537185734.854,143343124165.554,614170002668.802,267052836695.499,352835806342.495,169278916592.843,169319579016.25,1344240176739.78,7639749000000.0
1996,401341880620.728,279201433224.756,850426432991.742,630607994132.747,863749314718.538,1598889216566.23,2506576553158.31,392896866204.516,227369679374.973,1314776508972.27,4923391533851.63,610167053824.007,432157945024.428,451372549019.608,160813026223.063,391724890744.498,158662483311.081,642251412058.321,291952430659.111,340103959546.926,183035237429.281,181464408820.097,1419645865834.63,8073122000000.0
1997,435642611296.586,252708051420.839,883206179730.462,654986999855.554,961601980984.623,1449392222971.45,2218790886532.82,415867563592.829,215748998609.635,1244988176443.84,4492448605638.94,569755022973.035,523449530464.257,417506211881.635,159893964916.817,404928954191.876,165963684913.218,589739772727.273,268251974485.586,294788198856.198,150180456565.728,189878399894.643,1560911918795.02,8577552000000.0
1998,399674421759.479,258528339631.029,863710759256.435,634000000000.0,1029060747620.65,1496906382032.47,2247760364565.97,421351317224.941,95445547872.715,1272729786996.77,4098362709531.24,383331833681.821,557461102630.658,438612530548.767,175282269666.801,270955486862.442,146775466666.667,618731484575.12,270889570937.999,303459014346.806,113675596787.738,275941990764.18,1653694932096.72,9062817000000.0
1999,389652212056.649,258245733221.468,599642024319.531,678412196271.118,1094003874937.34,1486915879701.93,2213873468586.88,458821052615.79,140001351215.462,1255004736463.98,4635982224063.88,497514040642.262,631249359702.389,447778514140.155,170704452714.673,195907128350.934,161717066666.667,634394904386.874,274320415375.678,297873643323.126,126669211778.94,256395932738.435,1687830448147.55,9631172000000.0
2000,416167815092.908,236792460312.471,655448231983.527,744773415931.587,1211331651866.09,1360959069477.49,1966980701145.1,468395521654.458,165021012077.81,1149661363439.38,4968359075956.59,576179387819.613,742061329643.37,417649282153.726,172953527033.013,259710142196.943,189514933333.333,598102854756.08,262905197441.662,279216033870.204,126392224253.794,274294623164.043,1665534876683.31,10250952000000.0
2001,379629301675.108,236746141604.37,559983634798.981,738981792355.372,1339400897105.11,1370376677298.86,1966381496641.73,485440139204.171,160446947784.909,1172041488805.87,4374711694090.87,547656279894.587,796064590656.176,432536219668.898,191823200371.284,306602070620.5,184137600000.0,627798682378.741,242499249692.616,286582672434.226,120296476180.402,201753123806.695,1649827263567.01,10581929000000.0
2002,395788696012.059,258383599375.177,509795273806.715,760649334098.005,1470557654799.95,1492427756382.43,2102350798305.89,514939140318.756,195660611165.183,1281746271196.04,4182846045873.61,627246933729.618,810666116505.478,475529972122.746,199694463255.567,345470494417.863,189605866666.667,708938227243.923,267373345246.531,309301422430.386,134300904400.022,240249071871.106,1785729916067.15,10929108000000.0
2003,467739079790.332,318082528506.588,558233745651.874,895540646634.787,1660280543846.79,1835095983049.09,2534715518349.01,607700687237.318,234772463823.808,1582930016538.82,4519561645253.53,702714855193.904,765549967703.273,582435617081.96,218561225998.47,430347420184.885,215807733333.333,907963217057.645,334074051172.972,362075086507.76,152280615245.887,314595572145.767,2054422857142.86,11456450000000.0
2004,614659980082.515,369214712443.206,669289424806.307,1026690238278.25,1955346768721.39,2109792297237.03,2852317768061.78,709152728830.775,256836875295.452,1812808753294.75,4893116005656.56,793175561887.027,819459227375.022,661224886143.245,256268656145.134,591016690732.385,258742133333.333,1069829382514.67,384547211147.247,403912891033.374,172895685154.658,408865430220.331,2421525082387.4,12217196000000.0
2005,695692898676.56,385714762230.039,891633839853.105,1173108598778.68,2285961149879.85,2192146403028.17,2893393187361.87,820383763511.445,285868619196.085,1864982261286.85,4831467035389.8,934901071332.984,917571853529.104,688133699635.797,306999913150.525,764015973481.11,328459608764.111,1154667551775.88,391690329314.475,418284865884.998,189318408468.595,506314717661.655,2543180000000.0,13039197000000.0
2006,748417562769.636,408259840868.823,1107626541710.74,1319264809590.97,2752118657184.02,2317861544690.82,3046308753670.58,940259888787.721,364570515618.358,1958563654385.64,4601663122649.92,1053216909887.56,1020265057882.01,737593995289.411,345897630736.173,989932071352.543,376900133511.348,1261846683275.29,422530427475.536,441634672196.523,221758296021.621,557076157773.479,2708441582336.71,13815583000000.0
2007,855007458585.224,470922156309.453,1397114486471.38,1468820407783.26,3550327802998.4,2655816911866.56,3484056680854.91,1216736438834.96,432216737774.861,2222524108127.65,4579750920354.81,1172614086539.86,1102355554971.95,853499460872.552,429715132137.503,1299703478481.65,415964509673.115,1476746276854.51,490050156832.574,490740715594.802,262942621455.053,681321124295.914,3090510204081.63,14474228000000.0
2008,1056112427190.38,517328087920.078,1695855083552.05,1552989690721.65,4594336785737.67,2926802941585.86,3808786022312.5,1198895139005.92,510228634992.255,2417508414187.19,5106679115127.3,1047339010225.25,1161553459715.1,957901566041.406,535612030671.888,1660848058303.11,519796800000.0,1636115447612.5,514616528348.834,567267767519.158,291382982430.951,770449132861.373,2929411764705.88,14769862000000.0
2009,928762122698.05,485014525992.461,1666996438681.46,1374625142157.29,5101691124285.21,2700075882518.98,3479800820863.28,1341888016994.9,539580085612.401,2209484319012.65,5289493117993.89,943941876218.743,943437415024.633,878954223140.234,440891472247.096,1222645900055.7,429097866666.667,1496587590847.66,434313804907.366,554212916092.271,281710630187.319,649289324627.732,2412840006231.5,14478067000000.0
2010,1148838233480.72,481556503720.001,2208837745214.23,1617343367486.26,6087191746679.49,2646230027988.34,3468154343000.01,1675615519484.96,755094157594.524,2144936254535.0,5759071769013.11,1143672241149.72,1105424238731.09,852464982433.335,478111630683.514,1524916715223.95,528207200000.0,1427989078916.67,492753255885.718,598851028906.58,341104766329.17,776967266305.53,2485482596184.71,15048971000000.0
2011,1398610616772.97,527196649048.639,2616156223977.47,1793326630174.52,7551545703440.75,2870408553990.28,3824828563521.41,1823051829894.55,892969104529.572,2306974020278.21,6233147172341.35,1253289537500.81,1229013703416.76,913140741332.687,527848543023.469,2045922753398.04,676634666666.667,1487568659241.25,570541353128.724,715888126682.396,370818739623.622,838785289694.35,2663805834828.07,15599732000000.0
2012,1547532281116.4,498414364944.961,2465227803011.57,1828366481521.6,8532185381680.59,2683007095787.23,3597896500945.31,1827637590410.41,917869913364.917,2097929495121.68,6272362996105.03,1278046536287.01,1255110424817.79,845689017065.625,498148649702.66,2208293553878.42,741849866666.667,1330994811670.31,549742183874.355,686420221557.99,397558325278.579,880555885492.269,2707089726614.64,16253970000000.0
2013,1577123329410.88,524097026598.55,2472819535742.73,1846597421834.98,9570471111831.68,2816077607875.26,3808086291482.36,1856721507621.58,912524136718.018,2153225581941.46,5212328181166.18,1370632955321.2,1327436290282.67,883951539006.669,518179836405.36,2292470078346.22,753864533333.333,1362186923157.65,584128116410.29,706234937370.968,420333654592.547,957799120008.32,2784853502534.29,16880683000000.0
2014,1468265356427.76,537987419164.351,2456043727198.85,1805749878439.94,10475624944355.2,2861236112552.42,3965800686309.79,2039126479154.52,890814755511.014,2173255507985.84,4896994405353.29,1484488526271.8,1364507717614.13,901556501756.467,542134167178.627,2059241589895.01,766605866666.667,1380244561361.96,577730245154.162,726537808338.0,407339040197.651,938934609296.966,3064708247921.43,17608138000000.0
2015,1351296372254.31,461044767544.531,1802212206904.68,1556508816217.14,11061572618578.7,2442483452642.5,3423568450957.03,2103588360044.94,860854232717.718,1845428048839.1,4444930651964.18,1466038936206.43,1213294467716.88,775743675302.734,480054118583.367,1363482182197.71,669484266666.667,1206164777553.12,501698263620.663,694118186379.628,401296238228.084,864313810469.009,2927911140916.73,18295019000000.0
2016,1206836962281.84,474271566739.729,1795693482652.52,1527994741907.43,11233313730348.7,2470407619777.13,3537784107980.55,2294796885663.16,931877364034.196,1887111188176.93,5003677627544.24,1499679823909.61,1112233497452.7,797163949289.885,473259583969.643,1276786350881.14,666000000000.0,1243015667917.12,514218206628.325,687895460902.713,413366349747.508,869682881593.041,2689106566899.61,18804913000000.0
2017,1325582658156.54,500908767351.53,2063514977334.32,1649265644244.09,12310491333980.9,2588868323334.71,3763092263752.95,2651474262755.45,1015618744168.08,1970720904584.71,4930837369151.42,1623074183501.9,1190721475906.0,848233537845.884,528356676667.211,1574199360089.0,714994666666.667,1321754088818.83,536083940228.684,695200833086.499,456356813536.764,858988492853.742,2680148052335.3,19612102000000.0
2018,1427809041019.44,542638913427.921,1916933898038.36,1725329192783.02,13894907857880.6,2781576320884.39,4052008447223.53,2702929641648.74,1042271532953.49,2099435266458.67,5040880939324.86,1725373496825.43,1256300182879.73,929733599796.862,594616687350.017,1657328773461.31,846583733333.333,1431642809327.06,551312498430.164,725568717468.001,506754208404.485,778972108040.602,2871340347581.79,20656516000000.0
2019,1392723834562.64,536726344405.489,1873288205186.45,1743725183672.52,14279968506271.7,2722793515171.76,3957208055215.68,2835606256558.19,1119099871385.79,2019606796583.53,5117993853016.51,1651422932447.77,1304106203694.81,928903005576.469,602683770144.88,1693115002708.32,838564800000.0,1403496387686.27,532169294165.94,721369112726.724,543976691793.886,761005915750.925,2851407164907.81,21539982000000.0
2020,1328414058378.38,529694473501.791,1476107231194.11,1655684730000.19,14687744162801.0,2647926055110.05,3940142541354.1,2674851578587.27,1059054842711.55,1907481094079.23,5055587093501.59,1644312831906.17,1121064767261.88,932560861701.17,605914237903.742,1493075894362.14,734271200000.0,1289783836971.21,545147614972.141,741999406005.627,500461898480.246,720338490327.248,2696778386607.65,21354105000000.0
2021,1556735770437.26,598494036474.409,1670647399034.67,2007472181464.15,17820459508852.2,2966433692008.09,4348297440387.53,3167270623260.47,1186509691070.97,2179207773596.09,5034620784584.98,1818432106880.04,1316569466932.59,1054472123449.6,689170230665.35,1843392293734.38,874156000000.0,1461244901852.69,637186904843.636,813408787222.499,506256494297.34,819865223976.115,3143323050707.26,23681171000000.0
2022,1690858246994.43,593438820508.173,1951923942083.32,2161483369422.01,17881782683707.3,2796302210398.84,4163596357879.39,3353470496886.33,1319076267291.51,2102995942720.44,4256410760723.75,1673916511799.71,1464312692331.58,1046540797548.64,695607470875.276,2266029240645.34,1108571466666.67,1446498147749.03,579895717343.956,818426550206.45,495645210972.751,907118434653.505,3114042471144.39,26006893000000.0
2023,1728057316695.61,644782756682.756,2173665655937.27,2142470914401.36,17794783039552.0,3051831611384.76,4525703903627.53,3567551674623.01,1371171152331.16,2300941152991.81,4204494802431.55,1712792854202.37,1789114434843.46,1154361305398.06,809200697797.088,2021421476035.42,1067582933333.33,1620090734956.89,584960475767.32,884940402230.409,514968699239.005,1118252964260.77,3380854520809.54,27720709000000.0
